trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.07911260000037146,,0.01865179999731481,5,0.07911260000037146,0.07911260000037146,0.05507980000038515,2.6092860999997356,[-0.075],[-0.17833333333333334],[1],[0],[0],[2.553174799999397],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
1,0,1,0,2.8827548999979626,,2.6231341999991855,10,2.8827548999979626,2.8827548999979626,0.2241059000007226,4.286993199999415,[0.45666666666666667],[-0.016666666666666666],[1],[0],[0],[1.4410028000020247],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
2,0,2,0,4.367992699997558,,4.292824199997995,10,4.367992699997558,4.367992699997558,0.056445199999870965,5.771168899998884,[0.38],[0.08666666666666667],[1],[0],[0],[1.4225355999988096],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
3,0,3,0,5.819461799997953,,5.777006099997379,5,5.819461799997953,5.819461799997953,0.030033600000024308,7.306257500000356,[-0.13166666666666665],[-0.175],[1],[0],[0],[1.49984840000252],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
4,0,4,0,7.371154299999034,,7.3125507999975525,5,7.371154299999034,7.371154299999034,0.030061599998589372,9.443435900000622,[-0.10166666666666667],[-0.475],[1],[0],[0],[2.1013978000009956],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
5,0,5,0,9.522701699999743,,9.449349999998958,10,9.522701699999743,9.522701699999743,0.055594999997993,10.876452799999242,[0.3566666666666667],[-0.14333333333333334],[1],[0],[0],[1.3721465000016906],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
6,0,6,0,10.957877799999551,,10.882131599999411,10,10.957877799999551,10.957877799999551,0.053680000000895234,12.428277399998478,[-0.25166666666666665],[-0.06833333333333333],[1],[0],[0],[1.493058000000019],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
7,0,7,0,12.50975859999744,,12.43411339999875,10,12.50975859999744,12.50975859999744,0.05558559999917634,14.014852899999823,[-0.4716666666666667],[0.305],[1],[0],[0],[1.525685299999168],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
8,0,8,0,14.078588899999886,,14.020925900000293,5,14.078588899999886,14.078588899999886,0.02889820000200416,15.266350099998817,[-0.08166666666666667],[0.43],[1],[0],[0],[1.2173177000004216],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
9,0,9,0,15.329043999998248,,15.272090399997978,5,15.329043999998248,15.329043999998248,0.028334299997368362,16.43384159999914,[-0.24666666666666667],[0.155],[1],[0],[0],[1.133804199998849],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
10,0,10,0,16.497571799998695,,16.439890199999354,5,16.497571799998695,16.497571799998695,0.028618600001209415,18.004265199997462,[-0.30833333333333335],[0.08],[1],[0],[0],[1.5362824000003457],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
11,0,11,0,18.066177199998492,,18.015726400000858,5,18.066177199998492,18.066177199998492,0.029171399997721892,19.588553699999466,[0.03833333333333333],[-0.415],[1],[0],[0],[1.5455756000010297],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
12,0,12,0,19.68379300000015,,19.59450889999789,10,19.68379300000015,19.68379300000015,0.05538510000042152,29.797118799997406,[0.27666666666666667],[-0.17833333333333334],[1],[0],[0],[10.147599100000662],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
13,0,13,0,29.89572159999807,,29.80305319999752,10,29.89572159999807,29.89572159999807,0.05779140000231564,31.132673899999645,[-0.195],[0.20333333333333334],[1],[0],[0],[1.272207800000615],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
14,0,14,0,31.230093899997883,,31.13896079999904,10,31.230093899997883,31.230093899997883,0.0560079000024416,33.33514789999754,[0.17833333333333334],[0.21333333333333335],[1],[0],[0],[2.1408564999983355],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
15,0,15,0,33.39954179999768,,33.34116999999969,5,33.39954179999768,33.39954179999768,0.03265399999872898,34.555041299998265,[-0.445],[-0.07],[1],[0],[0],[1.181811899998138],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
16,0,16,0,34.633318500000314,,34.56097299999965,10,34.633318500000314,34.633318500000314,0.05319410000083735,37.20513650000066,[-0.06833333333333333],[-0.37166666666666665],[1],[0],[0],[2.5916619999989052],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
17,0,17,0,37.25425499999983,,37.210926100000506,5,37.25425499999983,37.25425499999983,0.029184999999415595,38.44167129999914,[0.28],[0.17833333333333334],[1],[0],[0],[1.202230700000655],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
18,0,18,0,38.53771059999781,,38.44770720000088,10,38.53771059999781,38.53771059999781,0.05830689999856986,39.84262039999885,[0.2966666666666667],[0.12666666666666668],[1],[0],[0],[1.3372216000025219],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
19,0,19,0,39.93934719999743,,39.8486355999994,10,39.93934719999743,39.93934719999743,0.05572949999987031,41.14285169999857,[-0.21833333333333332],[0.235],[1],[0],[0],[1.2391905000004044],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
20,0,20,0,41.241441099999065,,41.14872249999826,10,41.241441099999065,41.241441099999065,0.05807179999828804,42.67862199999945,[-0.265],[-0.19833333333333333],[1],[0],[0],[1.4725118999995175],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
21,0,21,0,42.77679139999964,,42.68449099999998,10,42.77679139999964,42.77679139999964,0.05851249999977881,45.14777789999789,[-0.29],[-0.32666666666666666],[1],[0],[0],[2.405384599998797],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
22,0,22,0,45.24606099999801,,45.15418900000077,10,45.24606099999801,45.24606099999801,0.06027090000134194,46.66620639999746,[-0.36333333333333334],[0.075],[1],[0],[0],[1.4529326999982004],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
23,0,23,0,46.731056000000535,,46.67199659999824,5,46.731056000000535,46.731056000000535,0.027488600000651786,48.11947869999858,[-0.14],[-0.46],[1],[0],[0],[1.4197232000005897],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
24,0,24,0,48.18257249999806,,48.125544999998965,5,48.18257249999806,48.18257249999806,0.02966010000091046,49.60321629999817,[0.22333333333333333],[-0.395],[1],[0],[0],[1.448605999998108],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
25,0,25,0,49.68397790000017,,49.60932889999822,10,49.68397790000017,49.68397790000017,0.05589299999701325,51.12303179999799,[0.19833333333333333],[-0.42],[1],[0],[0],[1.458335300001636],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
26,0,26,0,51.21855549999964,,51.129002599998785,10,51.21855549999964,51.21855549999964,0.0570592999974906,52.78958149999744,[-0.28],[-0.26],[1],[0],[0],[1.6042077000020072],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
27,0,27,0,52.887977300000784,,52.795386199999484,10,52.887977300000784,52.887977300000784,0.05744250000134343,54.758714199997485,[0.41],[0.2783333333333333],[1],[0],[0],[1.9065560000017285],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
28,0,28,0,54.822835200000554,,54.76464069999929,5,54.822835200000554,54.822835200000554,0.03210820000094827,56.81180250000034,[-0.025],[-0.04666666666666667],[1],[0],[0],[2.015512199999648],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
29,0,29,0,56.908865699999296,,56.818142799998895,10,56.908865699999296,56.908865699999296,0.056242300001031253,59.33002209999904,[0.03833333333333333],[0.08166666666666667],[1],[0],[0],[2.456288499997754],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
30,0,30,0,59.41057969999747,,59.335763099999895,10,59.41057969999747,59.41057969999747,0.054115599999931874,61.349854799998866,[-0.09666666666666666],[-0.09833333333333333],[1],[0],[0],[1.9605499999997846],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
31,0,31,0,61.41364049999902,,61.35555810000005,5,61.41364049999902,61.41364049999902,0.03071300000010524,62.60247769999842,[0.12666666666666668],[-0.18833333333333332],[1],[0],[0],[1.216753400000016],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
32,0,32,0,62.69846739999775,,62.6083049000008,10,62.69846739999775,62.69846739999775,0.05408570000145119,64.20255689999976,[0.3283333333333333],[0.14666666666666667],[1],[0],[0],[1.5407744000003731],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
33,0,33,0,64.28260769999906,,64.2085694999987,10,64.28260769999906,64.28260769999906,0.053604799999448005,65.75482560000091,[-0.30333333333333334],[0.185],[1],[0],[0],[1.493258500002412],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
34,0,34,0,65.81864379999752,,65.76086410000062,5,65.81864379999752,65.81864379999752,0.028853100000560516,67.44052309999825,[-0.22166666666666668],[0.43166666666666664],[1],[0],[0],[1.651470299999346],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
35,0,35,0,67.53676169999744,,67.44635879999987,10,67.53676169999744,67.53676169999744,0.056917000001703855,68.7405426999976,[-0.4633333333333333],[-0.058333333333333334],[1],[0],[0],[1.2378982999980508],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
36,0,36,0,68.80487499999799,,68.74659199999951,5,68.80487499999799,68.80487499999799,0.032313000003341585,70.35928149999745,[-0.045],[0.3],[1],[0],[0],[1.5809637000020302],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
37,0,37,0,70.44007829999828,,70.37036889999945,5,70.44007829999828,70.44007829999828,0.044843700001365505,71.62748229999852,[-0.3383333333333333],[0.3516666666666667],[1],[0],[0],[1.214187800000218],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
38,0,38,0,71.72460649999994,,71.63333729999795,10,71.72460649999994,71.72460649999994,0.05710199999884935,73.52851620000001,[-0.12333333333333334],[-0.34833333333333333],[1],[0],[0],[1.8386014999996405],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
39,0,39,0,73.59414800000013,,73.53496539999833,5,73.59414800000013,73.59414800000013,0.030379899999388726,74.69693449999977,[0.07333333333333333],[0.35333333333333333],[1],[0],[0],[1.132137699998566],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
40,0,40,0,74.79518579999785,,74.70300909999787,10,74.79518579999785,74.79518579999785,0.05762910000339616,76.16449549999743,[0.195],[0.16166666666666665],[1],[0],[0],[1.4045127000026696],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
41,0,41,0,76.22970390000046,,76.17043360000025,5,76.22970390000046,76.22970390000046,0.030034400002477923,78.40286959999867,[0.4683333333333333],[-0.255],[1],[0],[0],[2.2030024000014237],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
42,0,42,0,78.46508329999779,,78.40904039999805,5,78.46508329999779,78.46508329999779,0.02801729999919189,80.67043729999932,[-0.03333333333333333],[-0.24166666666666667],[1],[0],[0],[2.234166499998537],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
43,0,43,0,80.76735819999885,,80.6761860000006,10,80.76735819999885,80.76735819999885,0.05816599999889149,82.38895860000048,[0.4766666666666667],[-0.19333333333333333],[1],[0],[0],[1.655263799999375],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
44,0,44,0,82.45283449999988,,82.39479669999855,5,82.45283449999988,82.45283449999988,0.030242500000895234,83.95764829999825,[-0.445],[0.38333333333333336],[1],[0],[0],[1.533282500000496],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
45,0,45,0,84.02171109999836,,83.96375049999915,5,84.02171109999836,84.02171109999836,0.0284261000015249,85.76117650000015,[0.15833333333333333],[-0.008333333333333333],[1],[0],[0],[1.7695348000015656],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
46,0,46,0,85.8235323000008,,85.76709489999848,5,85.8235323000008,85.8235323000008,0.028667800001130672,87.64585349999834,[0.24666666666666667],[0.365],[1],[0],[0],[1.8507170999982918],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
47,0,47,0,87.74197669999921,,87.65165209999759,10,87.74197669999921,87.74197669999921,0.05518299999675946,89.4133961999978,[-0.19833333333333333],[-0.2733333333333333],[1],[0],[0],[1.7072518000022683],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
48,0,48,0,89.47782359999837,,89.42083999999886,5,89.47782359999837,89.47782359999837,0.028423599997040583,91.43388380000033,[0.0033333333333333335],[0.07666666666666666],[1],[0],[0],[1.9853598999980022],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
49,0,49,0,91.5132608999993,,91.43979240000044,10,91.5132608999993,91.5132608999993,0.05529240000032587,93.46799289999763,[0.055],[-0.04666666666666667],[1],[0],[0],[1.9733479999995325],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
50,0,50,0,93.56570629999987,,93.47961289999876,10,93.56570629999987,93.56570629999987,0.062237599999207305,95.51917069999763,[0.22666666666666666],[-0.46166666666666667],[1],[0],[0],[1.9792908999988867],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
51,0,51,0,95.6176876999998,,95.52514549999978,10,95.6176876999998,95.6176876999998,0.06063309999808553,96.92130259999976,[-0.27666666666666667],[-0.165],[1],[0],[0],[1.3362691000002087],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
52,0,52,0,97.00192249999964,,96.92708149999817,10,97.00192249999964,97.00192249999964,0.05345680000027642,98.42468589999771,[0.125],[-0.2783333333333333],[1],[0],[0],[1.4446555000031367],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
53,0,53,0,98.48747329999969,,98.43062849999842,5,98.48747329999969,98.48747329999969,0.028129999998782296,99.37581470000077,[0.20333333333333334],[-0.23333333333333334],[1],[0],[0],[0.9177091999990807],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
54,0,54,0,99.45468880000044,,99.38161009999749,10,99.45468880000044,99.45468880000044,0.05254559999957564,102.49327690000064,[-0.17666666666666667],[0.2916666666666667],[1],[0],[0],[3.0597538000001805],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
55,0,55,0,102.54191549999814,,102.49923719999788,5,102.54191549999814,102.54191549999814,0.029071000000840286,103.74633499999982,[-0.35833333333333334],[-0.14666666666666667],[1],[0],[0],[1.2185451000004832],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
56,0,56,0,103.84313909999764,,103.75290659999882,10,103.84313909999764,103.84313909999764,0.054773500000010245,105.01343110000016,[-0.11333333333333333],[0.3416666666666667],[1],[0],[0],[1.2063705000000482],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
57,0,57,0,105.07716549999896,,105.01938739999969,5,105.07716549999896,105.07716549999896,0.029739699999481672,106.7165075999983,[0.215],[-0.12833333333333333],[1],[0],[0],[1.667839699999604],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
58,0,58,0,106.77943989999767,,106.72259689999919,5,106.77943989999767,106.77943989999767,0.029371900000114692,108.13406499999837,[-0.38166666666666665],[0.31666666666666665],[1],[0],[0],[1.3827459999993152],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
59,0,59,0,108.19791629999963,,108.14087289999952,5,108.19791629999963,108.19791629999963,0.027657400001771748,109.21958339999765,[0.405],[-0.035],[1],[0],[0],[1.0515556999998807],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
60,0,60,0,109.28221819999817,,109.23036579999825,5,109.28221819999817,109.28221819999817,0.032865000001038425,110.23744009999791,[0.245],[0.14666666666666667],[1],[0],[0],[0.9760089000010339],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
61,0,61,0,110.31727369999862,,110.24312640000062,10,110.31727369999862,110.31727369999862,0.052300500003184425,111.7544448999979,[-0.38166666666666665],[-0.22833333333333333],[1],[0],[0],[1.4595560999987356],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
62,0,62,0,111.85212509999837,,111.76045999999769,10,111.85212509999837,111.85212509999837,0.05565220000062254,113.80830389999755,[-0.15333333333333332],[0.3616666666666667],[1],[0],[0],[1.9926411999986158],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
63,0,63,0,113.87116500000047,,113.81457450000016,5,113.87116500000047,113.87116500000047,0.028696400000626454,115.52724039999885,[-0.085],[-0.19166666666666668],[1],[0],[0],[1.6844969999983732],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
64,0,64,0,115.62341240000023,,115.5331961999982,10,115.62341240000023,115.62341240000023,0.05331149999983609,117.12642229999983,[-0.38],[-0.06833333333333333],[1],[0],[0],[1.540580200002296],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
65,0,65,0,117.1912889999985,,117.13314089999767,5,117.1912889999985,117.1912889999985,0.03062130000034813,119.0653648999978,[-0.035],[-0.3516666666666667],[1],[0],[0],[1.9027722999999241],['target'],567548,001,2024-10-10_16h01.17.050,visual_search_exp,2024.1.5,None,2024-10-10 16h01.27.271528 +0530,
